Organisation Name,Section,Costs (Higher),Financial year: End Date
Finansforbundet (FSU-DK),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Belgian-Italian Chamber of Commerce (CCBI),II - In-house lobbyists and trade/business/professional associations,199999,01/04/2017
EuropaBio,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
SOCIEDADE MEMORIAL VISCONDE DE MAUç (SMVM),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/04/2017
Terra-1530 (Terra),III - Non-governmental organisations,9999,01/01/2017
Asociatia Meridiane Socio-Culturale (MSC),III - Non-governmental organisations,9999,01/12/2017
Zaparazzi,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2017
Age UK,III - Non-governmental organisations,9999,01/04/2017
Eutelsat S.A (ETL),II - In-house lobbyists and trade/business/professional associations,199999,01/06/2017
Confederaci„n Patronal de la Repìblica Mexicana (COPARMEX),II - In-house lobbyists and trade/business/professional associations,9999,01/01/2017
The Bank of New York Mellon (BNY Mellon),II - In-house lobbyists and trade/business/professional associations,999999,01/12/2017
European Solar-Shading Organization vzw (ES-SO),II - In-house lobbyists and trade/business/professional associations,80000,01/01/2017
A-Fin Slovakia spol. s r.o.,II - In-house lobbyists and trade/business/professional associations,9999,01/01/2017
Aviation Strategy & Concepts (AS&C),I - Professional consultancies/law firms/self-employed consultants,299999,01/12/2017
Sindicato dos T_cnicos de Informaç†o e Comunicaç_es Aeronˆuticas (SINTICA),II - In-house lobbyists and trade/business/professional associations,2000,01/11/2017
Bundesverband der Agrargewerblichen Wirtschaft e.V. (BVA),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
Verband Sôddeutscher Zuckerrôbenanbauer e.V. (VSZ),II - In-house lobbyists and trade/business/professional associations,24999,01/03/2017
Bank of Valletta Group (BOV),II - In-house lobbyists and trade/business/professional associations,199999,01/09/2017
Transport for London (TfL),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/03/2017
International Federation of Air Traffic Controllers Associations (IFATCA),II - In-house lobbyists and trade/business/professional associations,24999,01/05/2017
European Biomass Association (AEBIOM),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2017
European Federation of Salaried Doctors (FEMS),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Biotech Consultants Ltd. (BTCL),I - Professional consultancies/law firms/self-employed consultants,9999,01/09/2017
Bijvoet Center for Biomolecular Research (Bijvoet Center),"IV - Think tanks, research and academic institutions",9999,01/01/2017
Chartered Institute for Archaeologists (CIfA),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
Flughafen Wien AG (FWAG),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
McKesson Europe AG,II - In-house lobbyists and trade/business/professional associations,24999,01/03/2017
Hungarian Chemical Industry Association (MAVESZ),II - In-house lobbyists and trade/business/professional associations,10000,01/12/2017
European Olympic Committees EU Office (EOC EU Office),III - Non-governmental organisations,799999,01/12/2017
Commentum political communication (Commentum),I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2017
ASOCIACION NACIONAL ESPA‹OLA DE DISTRIBUIDORES AUTOMATICOS (ANEDA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
"Banco Comercial Português, S.A. (Millennium bcp)",II - In-house lobbyists and trade/business/professional associations,199999,01/06/2017
Stichting OpenGeo (OpenGeo),III - Non-governmental organisations,9999,01/12/2017
persons with disability initiative Nigeria (PWDN),III - Non-governmental organisations,99999,01/03/2017
UK Research Office (UKRO),"IV - Think tanks, research and academic institutions",1249999,01/03/2017
Maurus Consulting GmbH,I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2017
European International Contractors (EIC),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2017
Agder Energi (AE),II - In-house lobbyists and trade/business/professional associations,9999,01/01/2017
Kommissariat der deutschen Bisch_fe - Katholisches Bôro in Berlin -,V - Organisations representing churches and religious communities,9999,01/12/2017
Verband des eZigarettenhandels (VdeH),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Asociaci„n para la Defensa de la Marca (ANDEMA),II - In-house lobbyists and trade/business/professional associations,10000,01/12/2017
"Soci_t_ des Auteurs, Compositeurs et Editeurs de Musique (SACEM)",II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
Centro Savonese di Servizi per il Volontariato (Cesavo),III - Non-governmental organisations,199999,01/12/2017
Veikkauksen edunv_litt_j_t - The Beneficiaries of Finnish Lottery,III - Non-governmental organisations,199999,01/12/2017
ILC - Ilgner & Leszek Consulting Sp.z o.o (ILC),I - Professional consultancies/law firms/self-employed consultants,17800,01/12/2017
Finnish Association of Construction Product Industries (RTT),II - In-house lobbyists and trade/business/professional associations,9999,01/01/2017
Culinaria Europe e. V. (Culinaria Europe),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
European Wood Preservative Manufacturers Group (EWPM),II - In-house lobbyists and trade/business/professional associations,41151,01/04/2017
F_d_ration Europ_enne des Cadres de l'Energie et de la Recherche - European Federation of managers and executives in the Energy sector (FECER),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Camera de Comert si Industrie Bilaterala Romania-Columbia (CRCC),III - Non-governmental organisations,9000,01/01/2017
Elektronische Sigaretten Bond Nederland (Esigbond),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
AIPROF - Associazione Italiana Professionisti Formatori (AIPROF),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Genna Cabinet Sprl,I - Professional consultancies/law firms/self-employed consultants,99999,01/03/2017
PROMETHEE,III - Non-governmental organisations,9999,01/12/2017
Michel Abdelahad (Michel Abdelahad),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
SALESAS TRES CENTRO DE ESTUDIOS,I - Professional consultancies/law firms/self-employed consultants,699999,01/12/2017
CONFIMPRENDITORI (CONFIMPRENDITORI),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Ahold Delhaize,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
United Kingdom Maritime Pilots Association (UKMPA),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
European Federation of Employees in Public Services (EUROFEDOP),II - In-house lobbyists and trade/business/professional associations,72410,01/12/2017
EurAc | European Network for Central Africa (EurAc),III - Non-governmental organisations,299999,01/12/2017
European Payment Institutions Federation (EPIF),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
Climate Disclosure Standards Board (CDSB),III - Non-governmental organisations,9999,01/03/2017
European Scientific Cooperative on Anthroposophic Medicinal Products (ESCAMP),"IV - Think tanks, research and academic institutions",9999,01/01/2017
Association des yaourts & laits ferment_s vivants (YLFA International),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
Institute of Air Quality Management (IAQM),II - In-house lobbyists and trade/business/professional associations,24999,01/06/2017
The Russell Group of Universities,"IV - Think tanks, research and academic institutions",45000,01/07/2017
Loan Market Association (LMA),II - In-house lobbyists and trade/business/professional associations,49999,01/01/2017
European Lime Association (EuLA),II - In-house lobbyists and trade/business/professional associations,5000,01/12/2017
SYNDICAT NATIONAL DES INGREDIENTS AROMATIQUES ALIMENTAIRES (SNIAA),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
Sôdtiroler Bauernbund (SBB),III - Non-governmental organisations,9999,01/12/2017
European Road Transport Research Advisory Council (ERTRAC),III - Non-governmental organisations,99999,01/12/2017
Autorisere KËle- & Varmepumpe-firmaers Brancheforening (AKB),II - In-house lobbyists and trade/business/professional associations,24999,01/08/2017
Fachverband Biogas (FvB),III - Non-governmental organisations,9999,01/12/2017
European Federation for Construction Chemicals (EFCC),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
German Association for the Protection of Intellectual Property (GRUR e.V.),III - Non-governmental organisations,9999,01/12/2017
Bundesverband der Dienstleistungswirtschaft (BDWi),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Monsanto (MON),II - In-house lobbyists and trade/business/professional associations,1499999,01/08/2017
21st Century Fox (21CF),II - In-house lobbyists and trade/business/professional associations,299999,01/06/2017
East Japan Railway Company (JR East),II - In-house lobbyists and trade/business/professional associations,199999,01/03/2017
Associaç†o Nacional dos M_dicos de Saìde Pìblica (ANMSP),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Bundesverband der Deutschen Luftverkehrswirtschaft e. V. (BDL),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
Knauf Insulation,II - In-house lobbyists and trade/business/professional associations,599999,01/12/2017
Association for Insurance Promotion (APPA),III - Non-governmental organisations,89000,01/12/2017
European Industrial Hemp Association (EIHA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
Fundatia George Enescu (FGE),III - Non-governmental organisations,99999,01/10/2017
TRIMET Aluminium SE (TRIMET),II - In-house lobbyists and trade/business/professional associations,9999,01/06/2017
Polish Confederation Lewiatan (Lewiatan),II - In-house lobbyists and trade/business/professional associations,199999,01/01/2017
PERNOD RICARD,II - In-house lobbyists and trade/business/professional associations,899999,01/06/2017
Audiovisual Anti-Piracy Alliance (AAPA),II - In-house lobbyists and trade/business/professional associations,50000,01/12/2017
ENCON.Europe GmbH,I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2017
Environmental Services Association (ESA),II - In-house lobbyists and trade/business/professional associations,49999,01/03/2017
The Nordic Association of Marine Insurers (Cefor),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
CA Technologies,II - In-house lobbyists and trade/business/professional associations,399999,01/03/2017
Novelis Europe,II - In-house lobbyists and trade/business/professional associations,24999,01/03/2017
Scotland Europa,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",1999999,01/03/2017
Independent Retail Europe (formerly UGAL - Union of Groups of Independent Retailers of Europe),II - In-house lobbyists and trade/business/professional associations,741350,01/12/2017
Rete nazionale operatori dell'usato (Rete ONU),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
THE PACKAGING FEDERATION (PF),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
INSOL Europe,III - Non-governmental organisations,9999,01/03/2017
AkzoNobel,II - In-house lobbyists and trade/business/professional associations,399999,01/12/2017
Welsh Higher Education Brussels (WHEB),"IV - Think tanks, research and academic institutions",199999,01/07/2017
Assembly of Scientists and Experts of Afghanistan (ASEA),"IV - Think tanks, research and academic institutions",199999,01/07/2017
Paikallisvoima ry,II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
DIE FAMILIENUNTERNEMER,II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
Banc de Sang i Teixits (BST),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",18000,01/12/2017
________ _________ _________ _________ ___ ________ _________ (______),III - Non-governmental organisations,9999,01/12/2017
CLUSTER OF MARICULTURE,II - In-house lobbyists and trade/business/professional associations,9999,01/04/2017
Wirtschaftsagentur Wien. Ein Fonds der Stadt Wien.,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
EUROPEAN FEDERATION OF JEWELLERY (EFJ),II - In-house lobbyists and trade/business/professional associations,10000,01/12/2017
The European Federation for Cosmetic Ingredients AISBL (EFfCI),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Rechtsanw_lte Lenz und Johlen (LJ),I - Professional consultancies/law firms/self-employed consultants,99999,01/01/2017
"Vereinigung fôr Stadt-, Regional- und Landesplanung e.V. (SRL)",II - In-house lobbyists and trade/business/professional associations,350000,01/12/2017
European Pulp and Paper Chemicals Group AISBL (EPCG),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
"ACCIONA, S.A. (ANA)",II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
VERIPOS Limited,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Aviation Environment Federation (AEF),III - Non-governmental organisations,24999,01/03/2017
Diputaci„ de Barcelona Brussels Office (DIBA),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2017
UK Chamber of Shipping,II - In-house lobbyists and trade/business/professional associations,24999,01/02/2017
European Former Foodstuff Processors Association (EFFPA),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
Network of European Museum Organisations (NEMO),III - Non-governmental organisations,49999,01/03/2017
Digonnet&Kutas Consulting (D&K Consulting),I - Professional consultancies/law firms/self-employed consultants,199999,01/12/2017
TOMRA Systems ASA,II - In-house lobbyists and trade/business/professional associations,75000,01/01/2017
Enagˆs S.A.,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
Soci_t_ des auteurs dans les arts graphiques et plastiques (ADAGP),II - In-house lobbyists and trade/business/professional associations,9999,01/01/2017
"Centro Studi •Intelligence, Scienze strategiche e Sicurezzaê (U.N.I.)","IV - Think tanks, research and academic institutions",9999,01/12/2017
Arbeitsgemeinschaft der Wasserwirtschaftsverb_nde NRW (agw NRW e.V.),III - Non-governmental organisations,9999,01/12/2017
Universit_ Popolare NiccolÖ Copernico (U.P.N.C.),"IV - Think tanks, research and academic institutions",9999,01/12/2017
CHAdeMO Association,III - Non-governmental organisations,9999,01/03/2017
Conseil International du Notariat Belge /Internationale Raad van het Belgisch Notariaat (CINB/IRBN),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
Martin Clark Consultancy,I - Professional consultancies/law firms/self-employed consultants,9999,01/04/2017
Koreneef Public Affairs Limited (KPAL),I - Professional consultancies/law firms/self-employed consultants,9999,01/03/2017
Brazilian Association of Animal Protein (ABPA),II - In-house lobbyists and trade/business/professional associations,49999,01/03/2017
BioForum Vlaanderen (BioForum),II - In-house lobbyists and trade/business/professional associations,1249999,01/12/2017
National Foreign Trade Council (NFTC),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
Greenyard NV (Greenyard),II - In-house lobbyists and trade/business/professional associations,49999,01/03/2017
Eau Secours 34,III - Non-governmental organisations,9999,01/08/2017
"_________ ""______ ___ _______""",III - Non-governmental organisations,9999,01/12/2017
Alluve,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2017
European Helicopter Association (EHA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
"Cˆmara Oficial de Comercio, Industria, Servicios y Navegaci„n de Espa_a (Cˆmara de Espa_a)",II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
Mittelstandsverband abfallbasierter Kraftstoffe e.V. (Waste-based Fuels Association) (MVaK),II - In-house lobbyists and trade/business/professional associations,24999,01/02/2017
"United Airlines, Inc.",II - In-house lobbyists and trade/business/professional associations,49999,01/10/2017
Copyright for Creativity (C4C),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
European Projects Association (EPA),III - Non-governmental organisations,49999,01/12/2017
GKV-Spitzenverband,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",299999,01/12/2017
VDI Zentrum Ressourceneffizienz GmbH (VDI ZRE),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2017
TRIVAROP (TRIVAROP),I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2017
European Federation of Lighter Manufacturers (EFLM),II - In-house lobbyists and trade/business/professional associations,49999,01/01/2017
Milchindustrie-Verband e.V. (MIV),II - In-house lobbyists and trade/business/professional associations, -   ,01/12/2017
Hipp GmbH & Co. Produktion KG (HiPP),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
Belgische Baksteenfederatie - F_d_ration Belge de la Brique (BBF - FBB),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Zentralverband Informationstechnik und Computerindustrie e.V. (ZItCo),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Robert VIERHOUT (RMS),I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2017
Demorais Consulting,I - Professional consultancies/law firms/self-employed consultants,9999,01/01/2017
Association des directeurs et personnels de direction des Bibliothèques Universitaires et de la documentation (ADBU),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/11/2017
vbw - Vereinigung der Bayerischen Wirtschaft e. V. (vbw),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2017
EOD Sp.z o.o. (EOD Sp.z o.o),II - In-house lobbyists and trade/business/professional associations,24300,01/12/2017
Spitzenorganisation der Filmwirtschaft e.V. (SPIO),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
Michel Maroy (2 M  public affairs),I - Professional consultancies/law firms/self-employed consultants,24999,01/10/2017
Argus Media Ltd,II - In-house lobbyists and trade/business/professional associations,299999,01/06/2017
UNION DES FABRICANTS (UNIFAB),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
EU Monitr,I - Professional consultancies/law firms/self-employed consultants,49999,01/03/2017
The European Association of Hospital Pharmacists (EAHP),II - In-house lobbyists and trade/business/professional associations,99999,01/03/2017
META-TRUST AISBL (META-TRUST),III - Non-governmental organisations,9999,01/12/2017
Brussels Interns NGO (B!ngo),III - Non-governmental organisations,500,01/12/2017
adidas AG (adidas GROUP),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2017
Banelli d.o.o. (Banelli),I - Professional consultancies/law firms/self-employed consultants,99999,01/01/2017
Royal Mail Group (RMG),II - In-house lobbyists and trade/business/professional associations,399999,01/03/2017
Suomen Musiikintekij_t ry,II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
BANCO BILBAO VIZCAYA ARGENTARIA (BBVA),II - In-house lobbyists and trade/business/professional associations,699999,01/09/2017
Stichting Platform Creatieve Media Industrie (PCMI),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Petcore Europe (Petcore),II - In-house lobbyists and trade/business/professional associations,185000,01/12/2017
Stichting Literaire Rechten Auteurs (Lira),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Hutnicza Izba Przemys_owo-Handlowa (HIPH),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
ƒsterreichischer Zeitschriften- und Fachmedienverband (ƒZV),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
European Association for Technical Communication - tekom Europe e.V. (tekom Europe),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
The Enterprise Forum Ltd (The Enterprise Forum),III - Non-governmental organisations,9999,01/04/2017
"Verband unabh_ngiger Tontr_gerunternehmen, Musikverlage und MusikproduzentInnen ƒsterreichs (VTMƒ)",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Angus Council,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/02/2017
US Industrial Pellet Association (USIPA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
VdFS - Verwertungsgesellschaft der Filmschaffenden GenmbH (VdFS),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
FROMAGERIES BEL (FBSA),II - In-house lobbyists and trade/business/professional associations,30000,01/12/2017
National Writers Union (NWU),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
European Network for Copyright in Support of Education and Science (ENCES),III - Non-governmental organisations,9999,01/01/2017
KOMAN PRODUCTION (jkoman),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2017
Wissenschaftsrat (WR),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2017
European LEADER Association for Rural Development (ELARD),III - Non-governmental organisations,199999,01/12/2017
CIOPORA,III - Non-governmental organisations,9999,01/12/2017
DIERREPI CONSULTING di Dom Rosario Poidimani (DRP),II - In-house lobbyists and trade/business/professional associations,10000,01/01/2017
LE MONT CHAMPOT,III - Non-governmental organisations,9999,01/01/2017
Helsinki University Library (HULib),"IV - Think tanks, research and academic institutions",9999,01/12/2017
International Confederation of Societies of Authors and Composers (CISAC),III - Non-governmental organisations,24999,01/12/2017
Vereniging VBO Makelaar,II - In-house lobbyists and trade/business/professional associations,25000,01/12/2017
M_stskˆ knihovna v Praze (MKP),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2017
European Heritage Legal Forum (EHLF),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2017
New Under Ten Fishermen's Association (NUTFA),II - In-house lobbyists and trade/business/professional associations,24999,01/03/2017
activ fôr alle - Integration in Sport und Kultur e.V. (afa),III - Non-governmental organisations,99999,01/12/2017
Association pour la d_fense du patrimoine et du paysage de la vall_e de la Vingeanne (VdV),III - Non-governmental organisations,9999,01/12/2017
Institute for Participatory Democracy Euro Qvorum (Qvorum),III - Non-governmental organisations,9999,01/01/2017
"UNION DE SELVICULTORES DEL SUR DE EUROPA, AEIE (USSE)",III - Non-governmental organisations,9999,01/12/2017
European Producers Club (EPC),II - In-house lobbyists and trade/business/professional associations,140000,01/12/2017
Nomura International plc (Nomura),II - In-house lobbyists and trade/business/professional associations,299999,01/03/2017
Syndicat Formation et D_veloppement CFE-CGC (F&D),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Center for Responsible Enterprise And Trade (CREATe.org),III - Non-governmental organisations,9999,01/06/2017
Lithuanian Trade Union of Health Care Employees (LTUHCE),II - In-house lobbyists and trade/business/professional associations,35000,01/01/2017
EBRA ivzw/aisbl (EBRA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
Raffinerie Tirlemontoise S.A.,II - In-house lobbyists and trade/business/professional associations,199999,01/02/2017
Irish Farmers' Association (IFA),II - In-house lobbyists and trade/business/professional associations,299999,01/02/2017
Stichting Lezen & Schrijven,III - Non-governmental organisations,299999,01/03/2017
Nordea Bank AB (publ) (Nordea),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
Allianz der _ffentlichen Wasserwirtschaft e.V. (A_W),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
European PVC Window Profiles and related Building Products Association (EPPA),II - In-house lobbyists and trade/business/professional associations,170000,01/12/2017
Seafood Importers and Processors Alliance (SIPA),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
Medtronic (MDT),II - In-house lobbyists and trade/business/professional associations,399999,01/04/2017
KARL KRONER KG (KKUB),"IV - Think tanks, research and academic institutions",9999,01/03/2017
Benenson Strategy Group (BSG),I - Professional consultancies/law firms/self-employed consultants,199999,01/01/2017
European Federation of Tourist Guide Associations (FEG),III - Non-governmental organisations,9999,01/09/2017
GSMA Europe (GSMA Europe),II - In-house lobbyists and trade/business/professional associations,1249999,01/03/2017
LBC-NVK,II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
Turku-Southwest Finland European Office (Turku EU Office),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2017
European Network of Regional Logistics Competence Centers (Open ENLoCC),III - Non-governmental organisations,49999,01/12/2017
Verband der Landwirtschaftskammern e. V. (VLK),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",99999,01/12/2017
Vetcel LTD,III - Non-governmental organisations,9999,01/04/2017
Candice Joy Alexander,I - Professional consultancies/law firms/self-employed consultants,20000,01/01/2017
Creis-Terminal,"IV - Think tanks, research and academic institutions",9999,01/12/2017
Nationwide Building Society,II - In-house lobbyists and trade/business/professional associations,199999,01/04/2017
European Accounting Association (EAA),"IV - Think tanks, research and academic institutions",9999,01/12/2017
European Packaging Institutes Consortium (EPIC),II - In-house lobbyists and trade/business/professional associations,9999,01/05/2017
Canon Europe Ltd.,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
JP-MP-Consulting,I - Professional consultancies/law firms/self-employed consultants,9999,01/03/2017
European Biostimulants Industry Council (EBIC),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2017
World Protection for Dogs and Cats in the Meat Trade (NoToDogMeat),III - Non-governmental organisations,24999,01/04/2017
SOCIETE BIC,II - In-house lobbyists and trade/business/professional associations,199999,01/01/2017
Bremer Baumwollboerse (BBB),II - In-house lobbyists and trade/business/professional associations,9999,01/11/2017
European Federation of Concrete Admixtures Associations Limited (EFCA),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
pIEt Consulting BVBA,I - Professional consultancies/law firms/self-employed consultants,9999,01/09/2017
Middle East Concern (MEC),III - Non-governmental organisations,9999,01/03/2017
HCS sprl,I - Professional consultancies/law firms/self-employed consultants,9999,01/01/2017
NORTH SWEDEN EUROPEAN OFFICE (NSEO),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",199999,01/12/2017
International Organization to Preserve Human Rights (IOPHR),III - Non-governmental organisations,9999,01/02/2017
Federaci„n Espa_ola de Agrupaciones de Defensa Sanitaria de Acuicultura (FEADSA),III - Non-governmental organisations,9999,01/12/2017
Berufsvereinigung der Naturwissenschaftler in der Labordiagnostik (BNLD),III - Non-governmental organisations,9999,01/12/2017
European Federation of Explosives Engineers (EFEE),III - Non-governmental organisations,9999,01/12/2017
International Forum for Sustainable Underwater Activities (IFSUA),III - Non-governmental organisations,49999,01/12/2017
Maggioli,II - In-house lobbyists and trade/business/professional associations,399999,01/01/2017
Federated Investors (UK) LLP (Federated),II - In-house lobbyists and trade/business/professional associations,99999,01/01/2017
"Verband binationaler Familien und Partnerschaften, iaf e.V.",III - Non-governmental organisations,9999,01/12/2017
associazione internazionale mondo animali (A.I.M.A. ONLUS),III - Non-governmental organisations,9999,01/02/2017
Kumquat Consult,I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2017
CONSIGLIO NAZIONALE GEOMETRI E GEOMETRI LAUREATI (CNGeGL),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2017
International Capital Strategies LLC,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2017
PACT European Affairs,I - Professional consultancies/law firms/self-employed consultants,350000,01/12/2017
In-house Competition Lawyers' Association (ICLA),II - In-house lobbyists and trade/business/professional associations,200,01/12/2017
Dane Color UK Ltd.,II - In-house lobbyists and trade/business/professional associations,24999,01/05/2017
British Airline Pilots' Association (BALPA),II - In-house lobbyists and trade/business/professional associations,2500,01/04/2017
Bundesverband der Lebensmittelkontrolleure Deutschland e.V. (BVLK),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
European Contact Group (ECG),II - In-house lobbyists and trade/business/professional associations,599999,01/05/2017
"Acerinox, S.A.",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
MED-EL Elektromedizinische Ger_te GmbH,II - In-house lobbyists and trade/business/professional associations,99999,01/11/2017
The Manufacturers' Agents' Association of Great Britain and Ireland Incorporated (The MAA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
Bundesverband Beruflicher Naturschutz e.V. (BBN),III - Non-governmental organisations,9999,01/12/2017
Bartholomew  Advisors SCS,I - Professional consultancies/law firms/self-employed consultants,49999,01/08/2017
"Cˆmara de Concesionarios y Empresas vinculadas al Sector Pìblico en el çmbito de las infraestructuras, los equipamientos y servicios pìblicos (CCIES)",II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
Depository Trust & Clearing Corporation (DTCC),II - In-house lobbyists and trade/business/professional associations,499999,01/09/2017
Marine Stewardship Council (MSC),III - Non-governmental organisations,24999,01/03/2017
Braskem Netherlands B.V. (Braskem),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
International Cooperation Center (ICC),III - Non-governmental organisations,9999,01/01/2017
Centre for Effective Dispute Resolution (CEDR),III - Non-governmental organisations,9999,01/03/2017
ASOCIACION DE USUARIOS DE INTERNET (AUI),III - Non-governmental organisations,99999,01/12/2017
CORPO PROVINCIALE GUARDIE AMBIENTALI VOLONTARIE NAPOLI (CORPO GAV),III - Non-governmental organisations,5000,01/12/2017
Bundesverband fuer Tiergesundheit (BfT),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
UK Petroleum Industry Association (UKPIA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
F_d_ration des Entreprises du Commerce et de la Distribution (FCD),II - In-house lobbyists and trade/business/professional associations,99999,01/01/2017
