Organisation Name,Section,Costs (Higher),Financial year: End Date
Centro Nacional de Experimentaci„n de TecnologÍas de Hidr„geno y Pilas de Combustible (CNH2),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
Stichting Wageningen Research (WR),"IV - Think tanks, research and academic institutions",9999,01/12/2015
AUTOBAHNEN- UND SCHNELLSTRASSEN-FINANZIERUNGS- AKTIENGESELLSCHAFT (ASFINAG),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
International Federation of Air Traffic Safety Electronics Associations (IFATSEA),II - In-house lobbyists and trade/business/professional associations,30000,01/12/2015
COLLECTIF STRATEGIES ALIMENTAIRES (C.S.A.),III - Non-governmental organisations,49999,01/12/2015
Internet Society - Bulgaria (ISOC-Bulgaria),III - Non-governmental organisations,9999,01/12/2015
PaperFoam bv,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
Polish Electricity Association (PKEE),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2015
GEU - Samen werken voor onderwijs (GEU),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Instituut van de Bedrijfsrevisoren - Institut des R_viseurs d'Entreprises (IBR - IRE),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Zentralverband des Deutschen B_ckerhandwerks e.V.,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
Hensley Partners,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Cluster industrielle Biotechnologie CLIB2021 e.V. (CLIB),III - Non-governmental organisations,9999,01/12/2015
Verein fôr Anti-Piraterie der Film- und Videobranche (VAP),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Robillart,I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2015
EUROPEAN SPALLATION SOURCE (ESS),"IV - Think tanks, research and academic institutions",9999,01/12/2015
Entriage Srl (Entriage),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
"ENCATC, the European network on cultural management and policy (ENCATC)",III - Non-governmental organisations,399999,01/12/2015
KBC Group NV (KBC),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
"WEED - WELTWIRTSCHAFT, ƒKOLOGIE & ENTWICKLUNG e.V. (WEED)",III - Non-governmental organisations,99999,01/12/2015
Belgische Federatie Groenvoorzieners (BFG-FBEP),III - Non-governmental organisations,300000,01/12/2015
Centrum Individu en Samenleving (CISA),III - Non-governmental organisations,9999,01/12/2015
Euro PA (Euro PA),I - Professional consultancies/law firms/self-employed consultants,199999,01/12/2015
Elettra - Sincrotrone Trieste S.C.p.A. (Elettra),"IV - Think tanks, research and academic institutions",999999,01/12/2015
Drugs for Neglected Diseases initiative (DNDi),III - Non-governmental organisations,9999,01/12/2015
Belgian Federation of Food Supplements Industry (NAREDI),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
AQUAWAL,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
MakeSense (MakeSense),III - Non-governmental organisations,9999,01/12/2015
Espace de Recherche Appliqu_es au D_veloppement des Ressources Humaines (ERADRH),III - Non-governmental organisations,24999,01/12/2015
Syndicat des Transports d'Ile-de-France (STIF),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
European Lecithin Manufacturers Association (ELMA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Discovery Corporate Services Ltd (Discovery),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Interferry Inc. (Interferry),II - In-house lobbyists and trade/business/professional associations,300000,01/12/2015
Swedish Forest Industries Federation,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Associaç†o Nacional de Centros de Inspecç†o Autom„vel (ANCIA),II - In-house lobbyists and trade/business/professional associations,3000,01/12/2015
RESCOLL (RESCOLL),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
Royal Automobile Club Foundation for Motoring Limited (RAC Foundation),"IV - Think tanks, research and academic institutions",9999,01/12/2015
Bayerische Forschungsallianz GmbH (BayFOR),"IV - Think tanks, research and academic institutions",199999,01/12/2015
UNIVERSITA' DEGLI STUDI DI MODENA E REGGIO EMILIA (UNIMORE),"IV - Think tanks, research and academic institutions",400,01/12/2015
Swedish Orphan Biovitrum (Sobi),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Phytowelt GreenTechnologies GmbH (PHYTOWELT),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
European Boating Association (EBA),III - Non-governmental organisations,9999,01/12/2015
Stichting Schone Lucht Voor Iedereen (SLVI),III - Non-governmental organisations,9999,01/12/2015
Centre Français d'exploitation du droit de Copie (CFC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
European Association for Logistics and Transportation in Healthcare (EALTH),II - In-house lobbyists and trade/business/professional associations,50000,01/12/2015
Fundaci„n Zaragoza Logistics Center (ZLC),"IV - Think tanks, research and academic institutions",9999,01/12/2015
Cabinet d'avocats SAMMAN (SAMMAN),I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2015
CEMA - European Agricultural Machinery (CEMA),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
Scalable Life Sciences (Scalable),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
European Solar Thermal Electricity Association (ESTELA),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
Syndicat National de l'Edition Phonographique (SNEP),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Vereinigung Cockpit e.V. (VC),II - In-house lobbyists and trade/business/professional associations,10000,01/12/2015
PRS for Music,II - In-house lobbyists and trade/business/professional associations,90000,01/12/2015
European Compliance Organizations for Batteries (Eucobat),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
Tobacco Vapor Electronic Cigarette Association (TVECA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
FON KUM GILBERT CONSULTING (FKGC),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Muslim Hands (MH),III - Non-governmental organisations,24999,01/12/2015
Associazione Nazionale Educatori Professionali (ANEP),III - Non-governmental organisations,9999,01/12/2015
Forum pour un Contrat de G_n_ration Nord-Sud (Forum Nord Sud),III - Non-governmental organisations,9999,01/12/2015
Euroshore International (Euroshore),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Magyar Vegyipari Sz_vets_g (MAVESZ),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Chambre de commerce et d'industrie de r_gion Paris Ile-de-France (CCI Paris Ile-de-Fra),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",899999,01/12/2015
ANIA Association Nationale des Industries Alimentaires (ANIA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Dru_tvo Ekologi brez meja (EBM),III - Non-governmental organisations,9999,01/12/2015
Berbalk Communications (BC),I - Professional consultancies/law firms/self-employed consultants,199999,01/12/2015
EPEA Internationale Umweltforschung GmbH (EPEA),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
European Microfinance Network aisbl (EMN aisbl),III - Non-governmental organisations,24999,01/12/2015
European Privacy Association (EPA),"IV - Think tanks, research and academic institutions",24999,01/12/2015
Web-Guard (WG),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Der Grône Punkt - Duales System Deutschland GmbH (DSD - Duales System),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Voluntary Services Overseas (VSO),III - Non-governmental organisations,99999,01/04/2015
Clean Air Action Group (Leveg_ Munkacsoport) (CAAG),III - Non-governmental organisations,116024,01/12/2015
VOYAGES-SNCF.COM (VSC),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
greencross austria romania (GCAR),III - Non-governmental organisations,50000,01/12/2015
Asociaci„n de Empresas de EnergÍas Renovables (APPA),III - Non-governmental organisations,444232,01/12/2015
Eindhoven-Brainport EU Office (Eindhoven-Brainport),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",49999,01/12/2015
Confederaci„n de Productores Audiovisuales Espa_oles (FAPAE),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
"ACTIVE - Sobriety, Friendship and Peace (ACTIVE)",III - Non-governmental organisations,9999,01/12/2015
APE EUROPE (APE EUROPE),III - Non-governmental organisations,9999,01/12/2015
British Ceramic Confederation (BCC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Fundaci„n Impuestos y Competitividad (FIC),"IV - Think tanks, research and academic institutions",9999,01/12/2015
European Centre for Economic and Policy Analysis and Affairs (ECEPAA),III - Non-governmental organisations,49999,01/12/2015
Blue Cross,III - Non-governmental organisations,49999,01/12/2015
Zentralverband Sanit_r Heizung Klima (ZVSHK),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
Lejeune Consulting (LC),I - Professional consultancies/law firms/self-employed consultants,40000,01/12/2015
PROGECOOP,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
"BJD Reinsurance Consulting, SARL (BJD Re Consulting)",I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Huawei Technologies (Huawei),II - In-house lobbyists and trade/business/professional associations,2800000,01/12/2015
Bureau Bungenberg,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
IFPI Danmark (IFPI),II - In-house lobbyists and trade/business/professional associations,60000,01/12/2015
Bureau Telematica Binnenvaart (BTB),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
Unioncamere Lombardia (UCLombardia),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",49999,01/12/2015
American Association for the Advancement of Science (AAAS),III - Non-governmental organisations,9999,01/12/2015
UNETO-VNI (UNETO-VNI),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Consiglio Italiano del Movimento Europeo (CIME),III - Non-governmental organisations,9999,01/12/2015
FEDERATION EUROPEENNE DES CADRES DE LA CONSTRUCTION (FECC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Union Nationale des Mutualit_s Socialistes - National Federation of Socialist Mutual Health Funds (U.N.M.S.),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
European Academies' Science Advisory Council (EASAC),"IV - Think tanks, research and academic institutions",299999,01/12/2015
Think Tank Arinel srls (ARINEL),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Confederaci„n Provincial de Empresarios de Santa Cruz de Tenerife (CEOE-Tenerife),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
BLUE FISH EUROPE,III - Non-governmental organisations,199999,01/12/2015
European Coordinating Committee of Manufacturers of Electrical Switchgear and Controlgear (CAPIEL),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Deutsches Institut fôr Wirtschaftsforschung (DIW Berlin),"IV - Think tanks, research and academic institutions",  ,01/12/2015
IFPI Greece,II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
TECNIBERIA (TECNIBERIA),III - Non-governmental organisations,9999,01/12/2015
GEIE des Utilisateurs d'ERTMS (EUG),II - In-house lobbyists and trade/business/professional associations,2749000,01/12/2015
Foro de la Industria Nuclear Espa_ola (Foro Nuclear),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
European Institute for Asian Studies (EIAS),"IV - Think tanks, research and academic institutions",49999,01/12/2015
Mouvement des Entreprises de France (MEDEF),II - In-house lobbyists and trade/business/professional associations,699999,01/12/2015
Eucomed (Eucomed),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2015
European Historic Houses Association (EHHA),III - Non-governmental organisations,99999,01/12/2015
CAP 2020 asbl (CAP 2020),III - Non-governmental organisations,9999,01/12/2015
Nederlands Agrarisch Jongeren Kontakt (NAJK),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
European Panel Federation (EPF),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
Die Medienanstalten - Arbeitsgemeinschaft der Landesmedienanstalten in der Bundesrepublik Deutschland (Die Medienanstalten),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",99999,01/12/2015
Federation of European Securities Exchanges (FESE),II - In-house lobbyists and trade/business/professional associations,1999999,01/12/2015
Distefano Law Office (DLO),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Nordenergi (Nordenergi),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
IG Kultur ƒsterreich Interessensgemeinschaft der freien Kulturarbeit (IG Kultur ƒsterreich),III - Non-governmental organisations,65000,01/12/2015
Brussels Metropolitan,II - In-house lobbyists and trade/business/professional associations,308799,01/12/2015
Crop Protection Association (CPA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
D_fense des enfants - International Belgique (DEI-Belgique),III - Non-governmental organisations,199999,01/12/2015
L.B.CONSULTING SRL (L.B.CONSULTING S.R.L),I - Professional consultancies/law firms/self-employed consultants,1000,01/12/2015
INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE (INRA),"IV - Think tanks, research and academic institutions",599999,01/12/2015
Deutsche S_ge- und Holzindustrie Bundesverband e.V. (DeSH) (DeSH),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
StudiCentro (SC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Bureau International des Containers (BIC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
PSI Alliance,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
Federaci„n de Distribuidores Cinematogrˆficos (FEDICINE),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
UNI MEI Global Union (UNI MEI),II - In-house lobbyists and trade/business/professional associations,10000,01/12/2015
Red Espa_ola de QueserÍas de Campo y Artesanas (QueRed),III - Non-governmental organisations,99999,01/12/2015
Union Française des Industries P_trolières (UFIP),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Giolli societ_ cooperativa sociale - centro permanente di ricerca e sperimentazione teatrale sui metodi Boal e Freire (Giolli),III - Non-governmental organisations,9999,01/12/2015
Novamont SpA (Novamont),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Terra Humana Ltd. (TERRA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Baden-Wôrttembergischer Genossenschaftsverband e.V. (BWGV),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Convention of National Associations of Electrical Engineers of Europe (EUREL),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Svenska Flygbranschen (SFB),II - In-house lobbyists and trade/business/professional associations,1000,01/12/2015
European Vegetable Protein Association (EUVEPRO),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Swiss Finance Council (SFC),II - In-house lobbyists and trade/business/professional associations,1249999,01/12/2015
Dreik_nigsaktion - Hilfswerk der Katholischen Jungschar (DKA),V - Organisations representing churches and religious communities,24999,01/12/2015
DOCUMENTACION DE MEDIOS S.A. (DM),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Sanford C. Bernstein Limited,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Asociaci„n de Cosecheros y Exportadores de Flores y Plantas Vivas de Canarias (ASOCAN),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",100000,01/12/2015
Magyar Hangfelv_tel-kiad„k Sz_vets_ge K_z_s Jogkezel_ Egyesôlet (MAHASZ),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
CARMA DANI_MANLIK VE T_CARET LTD._T_. (C@rma),III - Non-governmental organisations,9999,01/12/2015
FUNDACIÓN RENDEMENTO ECONÓMICO MêNIMO SOSTIBLE E SOCIAL (FREMSS),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
OCEANISSRL,I - Professional consultancies/law firms/self-employed consultants,299999,01/12/2015
Vereniging van Beroepsmatige Handlijnvissers Nederland (VBHL),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
ASSOCIAZIONE DI PROMOZIONE SOCIALE FUTURO DIGITALE (APSFD),III - Non-governmental organisations,99999,01/12/2015
Institut fôr interdisziplin_re Dermatologische Pr_vention und Rehabilitation (iDerm),"IV - Think tanks, research and academic institutions",50000,01/12/2015
Verein zur F_rderung der mittelst_ndischen Wirtschaft e. V. (VFMW),II - In-house lobbyists and trade/business/professional associations,40000,01/12/2015
Institut fôr Kommunikation in sozialen Medien (ikosom),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Europeana Foundation (Europeana),III - Non-governmental organisations,9999,01/12/2015
ASSOCIAZIONE PER CAMERA DI COMMERCIO ITALIANA PAESI MEDITERRANEI E DEL GOLFO (COMEDIT),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
BONANOVA (Bonanova),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Welthaus Di_zese Graz-Seckau,V - Organisations representing churches and religious communities,24999,01/12/2015
Methanol Institute (MI),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Maritime Technology Cluster FVG (MARE TC FVG),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",35000,01/12/2015
Global Warning,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
FINCANTIERI SpA (FINC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
TU Delft Optics Research Group (TUDOP),"IV - Think tanks, research and academic institutions",9999,01/12/2015
Spitzenverband Fach_rzte Deutschlands e.V. (SpiFa),II - In-house lobbyists and trade/business/professional associations,100000,01/12/2015
Slow Food (NA),III - Non-governmental organisations,899999,01/12/2015
Plastic Soup Foundation,III - Non-governmental organisations,499999,01/12/2015
FEDERATION ENVIRONNEMENT DURABLE (FED),III - Non-governmental organisations,9999,01/12/2015
F_d_ration Nationale des Groupements de D_fense Sanitaire (GDS France),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
ARCA CONSORTIUM (ARCA),I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2015
Legal RLP,I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2015
League of European Research Universities (LERU),"IV - Think tanks, research and academic institutions",989000,01/12/2015
Chance for Buildings (C4B),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
Associazione Centro Italiano Opere Femminili Salesiane - Formazione Professionale (CIOFS - FP),III - Non-governmental organisations,9999,01/12/2015
Oslo Region European Office (ORE),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
European Jewish Association (EJA),V - Organisations representing churches and religious communities,99999,01/12/2015
Peccadillo Pictures Ltd (peccapics),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Luchtverkeersleiding Nederland (LVNL),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
ABN AMRO Bank N.V. (ABN AMRO),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2015
O'BROTHER DISTRIBUTION,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
BPCE (BPCE),II - In-house lobbyists and trade/business/professional associations,999999,01/12/2015
"Winston group, s.r.o.",I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
CEC Government Relations (PL) (CEC GR),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Zˆpado_eskˆ univerzita v Plzni (Z_U),"IV - Think tanks, research and academic institutions",9999,01/12/2015
"Svenska Artisters och Musikers Intresseorganisation, SAMI ek. f_r. (SAMI)",III - Non-governmental organisations,22600,01/12/2015
Nederlands Uitgeversverbond (NUV),II - In-house lobbyists and trade/business/professional associations,20000,01/12/2015
Vervoerregio Amsterdam,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
Syndicat des _nergies renouvelables (SER),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Association Internationale de la Mutualit_ (AIM),II - In-house lobbyists and trade/business/professional associations,799999,01/12/2015
FacilityLive OpCo (FacilityLive),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
Harland and Wolff Heavy Industries Limited (H&W),II - In-house lobbyists and trade/business/professional associations,699999,01/12/2015
IG Êbersetzerinnen Êbersetzer (IGÊ),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Chaos Computer Club e.V. (CCC),III - Non-governmental organisations,9999,01/12/2015
GREEK CHALLENGE (GC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Deutscher Journalisten-Verband e.V. -Gewerkschaft der Journalistinnen und Journalisten (DJV),II - In-house lobbyists and trade/business/professional associations,10000,01/12/2015
MACEDONIAN INSTITUTE FOR INTEGRATION (MII),III - Non-governmental organisations,9999,01/12/2015
Sos Musicisti (Sos Musicisti),III - Non-governmental organisations,800,01/12/2015
Association for Dental Education in Europe (ADEE),III - Non-governmental organisations,24999,01/12/2015
Chartered Trading Standards Institute (CTSI),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
"Vent de Colere, Federation Nationale (VdC)",III - Non-governmental organisations,9999,01/12/2015
The Central Organisation of Finnish Film Producers (SEK),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
FOBID Netherlands Library Forum (FOBID),III - Non-governmental organisations,9999,01/12/2015
Micha_ Cierpia_owski (michal.cierpialowski),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Associazione Italiana Educatori Finanziari (AIEF),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
European Advertising Standards Alliance (EASA),II - In-house lobbyists and trade/business/professional associations,80000,01/12/2015
Konsentio ApS (Konsentio),I - Professional consultancies/law firms/self-employed consultants,299999,01/12/2015
Conf_d_ration Europ_enne de la Production de Ma´s (C.E.P.M),II - In-house lobbyists and trade/business/professional associations,220000,01/12/2015
NˆrodnÍ galerie v Praze (NG),"IV - Think tanks, research and academic institutions",9999,01/12/2015
Alliance Nationale des Mutualit_s chr_tiennes - Landsbond der Christelijke Mutualiteiten (ANMC - LCM),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
Couperin (couperin),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
"Seznam.cz, a.s. (Seznam.cz)",II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Svenska Oberoende Musikproducenter (SOM),II - In-house lobbyists and trade/business/professional associations,5000,01/12/2015
LA MAISON DES ARTISTES (La MdA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Albanian-American Development Foundation (AADF),III - Non-governmental organisations,24999,01/12/2015
Coordination of European Picture Agencies Press Stock Heritage (CEPIC),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
SISAL,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
European Association for the Study of Diabetes e.V. (EASD),III - Non-governmental organisations,199999,01/12/2015
Gazprom (Gazprom),II - In-house lobbyists and trade/business/professional associations,999999,01/12/2015
European Confederation of Police (EuroCOP),II - In-house lobbyists and trade/business/professional associations,30000,01/12/2015
"Order of Nurses, Midwives and Medical Assistants in Romania (OAMGMAMR)","VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
Soci_t_ Française de D_fense des Droits de l'Homme & des Victimes du Travail (Francaise-dhc),III - Non-governmental organisations,9999,01/03/2015
RTL Group (RTL),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
UNION INTERNATIONALE DES AVOCATS (UIA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Axel Springer SE (AS SE),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Conseil National de l'Ordre des P_dicures-Podologues (ONPP),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Taalunie (TU),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",25500,01/12/2015
Schibsted ASA,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
"Public Company ÜEuropos socialiniai, teisiniai ir ekonominiai projektai"" (ESTEP)",I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
European Organic Certifiers Council (EOCC),III - Non-governmental organisations,49999,01/12/2015
Polish Science Contact Agency (PolSCA),"IV - Think tanks, research and academic institutions",179817,01/12/2015
Noerr LLP,I - Professional consultancies/law firms/self-employed consultants, -   ,01/12/2015
CENTRO ITALIANO FORMAZIONE EUROPEA (CIFE),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
F_d_ration europ_enne et internationale des Patrons Proth_sistes dentaires (FEPPD),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
ALTERTOX,I - Professional consultancies/law firms/self-employed consultants,80000,01/12/2015
European Critical Care Foundation (ECCF),III - Non-governmental organisations,24999,01/12/2015
Impulso Industrial Alternativo (Impulso),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Deutsche Hochschulmedizin e.V.,III - Non-governmental organisations,9999,01/12/2015
European Consortium of the Organic-based Fertilizer Industry (ECOFI),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
European Association of Remote Sensing Companies (EARSC),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2015
Colegio Oficial de Ingenieros T_cnicos en Informˆtica del Principado de Asturias (CITIPA),I - Professional consultancies/law firms/self-employed consultants,1000,01/12/2015
Prospero & Partners,I - Professional consultancies/law firms/self-employed consultants,499999,01/12/2015
Fiskesekretariatet (FishSec),III - Non-governmental organisations,100000,01/12/2015
Fondazione UniVerde (UniVerde),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Bureau for the Implementation of Equal Treatment (BUG),III - Non-governmental organisations,24999,01/12/2015
National Institute for Nuclear Physics (INFN),"IV - Think tanks, research and academic institutions",49999,01/12/2015
myHealthbox,II - In-house lobbyists and trade/business/professional associations, -   ,01/12/2015
European Metal Union (EMU),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Joint Institute for Innovation Policy (JIIP),"IV - Think tanks, research and academic institutions",1249999,01/12/2015
Karl W_rwag Lack- und Farbenfabrik GmbH & Co. KG (W_rwag),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Bund Deutscher Sportschôtzen 1975 e.V. (BDS 1975 e.V.),III - Non-governmental organisations,24999,01/12/2015
EuroVision and Associates,I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2015
Chartered Accountants Ireland (None),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Coalition Clean Baltic (CCB),III - Non-governmental organisations,499999,01/12/2015
OLIVE AND OLIVE OIL PRODUCTS OF CERTIFIED QUALITY (El3P),III - Non-governmental organisations,9999,01/12/2015
Association de veille et d'information civique sur les enjeux des nanosciences et des nanotechnologies (AVICENN VeilleNanos),III - Non-governmental organisations,85000,01/12/2015
Deutsche Gesetzliche Unfallversicherung e.V. (DGUV),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",299999,01/12/2015
Hans Erik Lindebo,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Ventures4Growth (V4G),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Polski Zwi_zek Zrzesze_ Le_nych (PZZL),III - Non-governmental organisations,9999,01/12/2015
Federation of Associations for Hunting & Conservation of the EU (FACE),III - Non-governmental organisations,999999,01/12/2015
Auchan Retail (AUCHAN),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Federation of European National Collection Associations (FENCA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Association of Organisations of Mediterranean Businesswomen (AFAEMME),III - Non-governmental organisations,9999,01/12/2015
INEOS Olefins and Polymers Europe (INEOS OPE),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
"ECOEMBALAJES ESPA‹A, S.A. (ECOEMBES)",II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
International Peacebuilding Alliance (Interpeace),III - Non-governmental organisations,199999,01/12/2015
"The Navigator Company, S.A. (Navigator)",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
reseau des colectivites territoriales pour une _conomie solidaire (RTES),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",10,01/03/2015
