Organisation Name,Section,Costs (Higher),Financial year: End Date
"Association des Banques et Banquiers, Luxembourg (ABBL)",II - In-house lobbyists and trade/business/professional associations,999999,01/12/2016
"Asociaciãn Espa_ola de Mayoristas, Transformadores, Importadores y Exportadores de Productos de la Pesca y la Acuicultura (ANIE-CONXEMAR)",II - In-house lobbyists and trade/business/professional associations,60000,01/12/2016
European Alliance of News Agencies (EANA),II - In-house lobbyists and trade/business/professional associations,9999,01/06/2016
European Dysmelia Reference Information Centre (EDRIC),III - Non-governmental organisations,9999,01/12/2016
Fortezza Onlus (Fortress Onlus),III - Non-governmental organisations,9999,01/12/2016
Alberto Carnesecca (AC),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Algaenergy S.A (Algaenergy),II - In-house lobbyists and trade/business/professional associations,799999,01/12/2016
European Network Against Racism (ENAR),III - Non-governmental organisations,399999,01/12/2016
WELCOMEUROPE (WELCOMEUROPE),I - Professional consultancies/law firms/self-employed consultants,399999,01/08/2016
DD Unternehmensentwicklungsgesellschaft mbH,II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
SANOFI,II - In-house lobbyists and trade/business/professional associations,799999,01/12/2016
Nove (Nove),I - Professional consultancies/law firms/self-employed consultants,1249999,01/12/2016
Financial Transparency Coalition (FTC),III - Non-governmental organisations,99999,01/12/2016
European Project Advice (EPA),I - Professional consultancies/law firms/self-employed consultants,99999,01/11/2016
Global Alliance for Improved Nutrition (GAIN),III - Non-governmental organisations,49999,01/06/2016
F_d_ration Internationale de la Diaspora Afar (FIDA),III - Non-governmental organisations,345,01/12/2016
Bayerischer Bauernverband (BBV),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Cassa Depositi e Prestiti s.p.a. (CDP),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
European Road Haulers Association (UETR),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
LANXESS AG,II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Svenska F_rl_ggaref_reningen (SvF),II - In-house lobbyists and trade/business/professional associations,5000,01/01/2016
_________ _________ __ ___________ __ __________ ___________ (_____),III - Non-governmental organisations,9999,01/12/2016
Small Business Standards (SBS),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",699999,01/12/2016
F_d_ration Internationale des Footballeurs Professionnelles Division Europe (FIFPro),II - In-house lobbyists and trade/business/professional associations,49999,01/07/2016
Wien Energie GmbH,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Young Pirates of Europe a.s.b.l. (YPE),III - Non-governmental organisations,9999,01/12/2016
UCB,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Suomen Taksiliitto ry (STL),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
ITD _ association for the Danish road transport of goods (ITD),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
The Secretariat of the Steering Committee of the Eastern Partnership Civil Society Forum (EaP CSF Secretariat),III - Non-governmental organisations,699999,01/12/2016
Rio Tinto,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
INTERCULTURAL DIALOGUE PLATFORM (IDP ASBL),III - Non-governmental organisations,173196,01/12/2016
ASOCIACIîN DE ARMADORES DE MARêN,II - In-house lobbyists and trade/business/professional associations,26000,01/12/2016
Nexa Center for Internet & Society (Nexa),"IV - Think tanks, research and academic institutions",24999,01/12/2016
WestRock (WRK),II - In-house lobbyists and trade/business/professional associations,299999,01/09/2016
Asociaciãn de Agricultores y Ganaderos de Canarias (ASAGA Canarias-ASAJA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Endowment for Democracy (EED),III - Non-governmental organisations,999999,01/12/2016
Uniãn de Uniones de Agricultores y Ganaderos (Uniãn de Uniones),II - In-house lobbyists and trade/business/professional associations,399999,01/01/2016
Uniãn Espa_ola Fotovoltaica (UNEF),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Verband Deutscher Drehbuchautoren e.V. (VDD),II - In-house lobbyists and trade/business/professional associations,2400,01/12/2016
CONSIGLIO NAZIONALE DEI CHIMICI (CNC),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",24999,01/12/2016
AIDES,III - Non-governmental organisations,299999,01/12/2016
Change s.p.r.l. (Change),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
F_d_ration des Industries M_caniques (FIM),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Alliance for Intellectual Property (Alliance for IP),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
"AG Cementos Balboa, S.A. (Cementos balboa)",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Asocia_ia Planeta Verde (APV),III - Non-governmental organisations,9999,01/12/2016
Bundesverband Alternative Investments e.V. (BAI),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Fresh Produce Consortium (FPC),II - In-house lobbyists and trade/business/professional associations, -   ,01/05/2016
Arch Mortgage Insurance dac (Arch MI),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Landsmannschaft der Oberschlesier e.V. (LdO),III - Non-governmental organisations,9999,01/12/2016
The South-East Europe Change Net Foundation (Fondacija Mre_a za promjene Jugoisto_ne Evrope) (SEE Change Net),III - Non-governmental organisations,9999,01/12/2016
Sviluppo Italia Molise,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2016
National and University Library (NUK),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2016
AbbVie,II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
Nordic Securities Association (NSA),II - In-house lobbyists and trade/business/professional associations,99999,01/06/2016
BPI (British Recorded Music Industry) Ltd (BPI),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
"CFL S_derhamn, H_lsinglands Utbildningsf_rbund (CFL Soderhamn)","VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2016
EU-LAT Network/Red EU-LAT (EU-LAT Network),III - Non-governmental organisations,199999,01/12/2016
MENTO-LIU (MENTO),II - In-house lobbyists and trade/business/professional associations,9999,01/01/2016
European Holiday Home Association (EHHA),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Landward Research Ltd,I - Professional consultancies/law firms/self-employed consultants,9999,01/03/2016
Frequentis AG,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
European Central Securities Depositories Association (ECSDA),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Deutscher Museumsbund e.V. (DMB),III - Non-governmental organisations,199999,01/12/2016
Patentverein.de e.V.,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
"Dahan, Dahan-Bitton & Dahan (DDBD)",I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Colegio Profesional de Ingenieros T_cnicos en Informötica de Andalucêa (CPITIA),II - In-house lobbyists and trade/business/professional associations,200,01/12/2016
Deutsche Nationalbibliothek (DNB),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2016
Association des inventeurs salari_s (AIS),III - Non-governmental organisations,9999,01/12/2016
Verwertungsgesellschaft Bild-Kunst (VG Bild-Kunst),III - Non-governmental organisations,40000,01/12/2016
F_d_ration Française de la Coutellerie (FFC),II - In-house lobbyists and trade/business/professional associations, -   ,01/12/2016
Forum Europ_en pour la S_curit_ Urbaine (Efus),III - Non-governmental organisations,9999,01/12/2016
KIMO International,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/03/2016
K_ym_l_seura Huussi ry/Global Dry Toilet Association of Finland (KSH ry /GDTF),III - Non-governmental organisations,9999,01/12/2016
Council of Occupational Therapists for the European Countries (COTEC),III - Non-governmental organisations,9999,01/12/2016
Confederation of European Pest Management Associations (CEPA),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Blender Foundation (BlenderFoundation),III - Non-governmental organisations,9999,01/12/2016
Associaç o Portuguesa para a Igualdade Parental e Direito dos Filhos (APIPDF),III - Non-governmental organisations,9999,01/12/2016
Orange Bird Lda (Orange Bird),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Suomen Kirjailijaliitto ry,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Autismo Abruzzo Onlus (AA Autismo Abruzzo),III - Non-governmental organisations,1000,01/12/2016
Jim Murray (OpenMedicineEU),I - Professional consultancies/law firms/self-employed consultants, -   ,01/12/2016
Royal SMIT Transformers B.V.,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Tribe of Noise (ToN),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Henderson Group PLC (HGG),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Verband Freier Radios Ästerreich (VFRÄ),III - Non-governmental organisations,9999,01/12/2016
European Sealing Association (ESA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Europa Nostra,III - Non-governmental organisations,740000,01/12/2016
Verband Deutscher Zeitschriftenverleger e. V. (VDZ),II - In-house lobbyists and trade/business/professional associations,199999,01/06/2016
"ASOCIACIîN ESPAÜOLA DE FABRICANTES DE PASTA, PAPEL Y CARTîN (ASPAPEL)",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
"Euroffice Praha - Brusel, a. s. (Euroffice)",I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
CONUSBAT Regulatory Services (CONUSBAT),I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2016
PLATAFORMA AGRARIA LIBRE DE CANARIAS (PALCA),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Food and Drink Federation (FDF),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Unabh_ngiger Tanklagerverband (UTV),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Association of European Public Postal Operators (PostEurop AISBL),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Austro Control Ästerreichische Gesellschaft f™r Zivilluftfahrt mit beschr_nkter Haftung (ACG),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2016
Society for the Enhancement of National Communities in Europe (SENCE),III - Non-governmental organisations,9999,01/12/2016
Wikimedia Foundation (WMF),III - Non-governmental organisations,9999,01/06/2016
FEDIL - The Voice of Luxembourg's Industry (FEDIL),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Government To You (Gov2u),III - Non-governmental organisations,199999,01/12/2016
arbeit plus - Soziale Unternehmen Ästerreich,III - Non-governmental organisations,9999,01/12/2016
Univerzita Karlova (UK),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Sophie Delair,I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
Suomen Anti-piratismiyhdistys ry (FACG),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
LINDAT/CLARIN (LINDAT),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Stowarzyszenie Filmowcãw Polskich (SFP),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Aviation Advocacy,I - Professional consultancies/law firms/self-employed consultants,399999,01/12/2016
Clean Fuels Consulting (CFC),I - Professional consultancies/law firms/self-employed consultants,10000,01/12/2016
Trans Adriatic Pipeline (TAP),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Rubinum SA,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Teatteri- ja mediaty_ntekij_iden liitto ry (Teme ry),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Relations and Property Management bvba (RELPROM bvba),I - Professional consultancies/law firms/self-employed consultants,24999,01/09/2016
Kunstvallei BV (Kunstvallei),"IV - Think tanks, research and academic institutions",24999,01/12/2016
SI-IES srl European Services Institute (SI-IES),I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2016
F_d_ration nationale des sapeurs-pompiers de France (FNSPF),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
ChamberLink Ltd,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/04/2016
PACKED vzw - Expertisecentrum Digitaal Erfgoed (PACKED),III - Non-governmental organisations,9999,01/12/2016
Entertainment Retailers Association (ERA),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2016
Engaging Consulting,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
INEOS Group AG (INEOS),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
LAVASELLI MAURO (Ecosafety Consulting),I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
F.I.S.C. - Federazione Italiana Sport Cinofili A.S.D. A.P.S. (F.I.S.C. A.S.D. A.P.),I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
Gesellschaft f™r Informatik e.V. (GI),III - Non-governmental organisations,9999,01/12/2016
Norwegian Visual Artists Copyright Society (BONO) (BONO),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
UKTV Media Limited (UKTV),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
"Vlaamse Vereniging voor Bibliotheek, Archief  & Documentatie (VVBAD)",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
GSR Services GmbH (GSR Services),I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
LNE Group,I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2016
Musiikkituottajat - IFPI Finland ry,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
International Foundation for Better Governance (IFBG),III - Non-governmental organisations,9999,01/12/2016
European Waste to Advanced Biofuels Association (EWABA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Towarowa Gie_da Energii S.A. (TGE),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Pilarp Juridik,I - Professional consultancies/law firms/self-employed consultants,30000,01/12/2016
Association for Art History,III - Non-governmental organisations,9999,01/12/2016
Film- och TV-branschens Samarbetskommitt_ (FTVS),III - Non-governmental organisations,899999,01/12/2016
"SUISA, Genossenschaft der Urheber und Verleger von Musik (SUISA)",III - Non-governmental organisations,49999,01/12/2016
Nederlandse Wind Energie Associatie (NWEA),II - In-house lobbyists and trade/business/professional associations,9999,01/01/2016
European Association of Hearing Aid Professionals - Association Europeenne des Audioprothesistes (AEA),II - In-house lobbyists and trade/business/professional associations,46100,01/12/2016
"Artistas Int_rpretes, Sociedad de Gestiãn (AISGE)",II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Polityka Spã_ka z ograniczon_ odpowiedzialno_ci_ Spã_ka Komandytowo Akcyjna (Polityka Sp. z o.o.),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Kerstin Ochs (ochs25ker),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
European Waterpark Association e.V. (EWA),II - In-house lobbyists and trade/business/professional associations,2000,01/12/2016
European Society for Rural Sociology (ESRS),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Industrial Ethanol Association (IEA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Antiterrorism Consulting,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Independent Film & Television Alliance (IFTA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
April,III - Non-governmental organisations,9999,01/12/2016
Berlin Partner f™r Wirtschaft und Technologie GmbH,II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
EU40,III - Non-governmental organisations,199999,01/12/2016
Climate Strategy & Partners (Climate Strategy),I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2016
Vereniging van Onafhankelijke Televisie Producenten (OTP),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Romanoff & Partners (Romanoff & Partners),I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
Wellcome Trust,III - Non-governmental organisations,199999,01/09/2016
ASOCIACIîN CANARIA PARA LA INVESTIGACIîN Y CONSERVACIîN DE LOS ELASMOBRANQUIOS (ElasmoCan),III - Non-governmental organisations,9999,01/12/2016
Vereniging Wikimedia Nederland,III - Non-governmental organisations,24999,01/12/2016
"""Athena"" Research and Innovation Center in Information, Communication and Knowledge Technologies (ATHENA RC)","IV - Think tanks, research and academic institutions",299999,01/12/2016
European Network of Filipino Diaspora (ENFiD),III - Non-governmental organisations,9999,01/01/2016
Foundation Max van der Stoel (FMS),III - Non-governmental organisations,93267,01/01/2016
European Electronics Recyclers Association (EERA),III - Non-governmental organisations,200000,01/12/2016
ASOCIATIA ROMANA A CARNII (ARC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Confindustria Radio Televisioni (CRTV),II - In-house lobbyists and trade/business/professional associations, -   ,01/12/2016
Hering Schuppener Consulting Corporate Affairs & Public Strategies GmbH (HSCA),I - Professional consultancies/law firms/self-employed consultants,899999,01/12/2016
"Personal Connected Health Alliance, LLC (PCHAlliance)",III - Non-governmental organisations,49999,01/06/2016
ASSOBIOMEDICA (ASSOBIOMEDICA),II - In-house lobbyists and trade/business/professional associations,50000,01/12/2016
Netwerk Auteursrechten Informatiepunten HBO,III - Non-governmental organisations,9999,01/12/2016
HACH LANGE GmbH (HL),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Syndicat national des auteurs et des compositeurs (SNAC),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Federal Union of European Nationalities (FUEN),III - Non-governmental organisations,808231,01/12/2016
Portes Ouvertes,III - Non-governmental organisations,9999,01/12/2016
Carmelo  Giurdanella Annina,I - Professional consultancies/law firms/self-employed consultants,1000,01/03/2016
Comitato Olimpico Nazionale Italiano (CONI),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2016
RECS International (RECS),III - Non-governmental organisations,199999,01/12/2016
TeleTrusT - Bundesverband IT-Sicherheit e.V. (TeleTrusT),III - Non-governmental organisations,299999,01/12/2016
_eskö telekomunika_nê infrastruktura a.s. (CETIN),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Svaz knihovnêk_ a informa_nêch pracovnêk_ _esk_ republiky (SKIP _R),III - Non-governmental organisations,9999,01/12/2016
University of Warwick,"IV - Think tanks, research and academic institutions",1499999,01/07/2016
KæFFNER MAUNZ LANGER ZUGMAIER Rechtsanwaltsges. mbH (KMLZ),I - Professional consultancies/law firms/self-employed consultants, -   ,01/12/2016
AlpVision SA,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Evropsk_ institut odkazu _oa (ESLI),III - Non-governmental organisations,9999,01/12/2016
Sveriges F_rfattarf_rbund (SFF),III - Non-governmental organisations,16000,01/12/2016
Danske Studerendes F_llesr‘d (DSF),III - Non-governmental organisations,9999,01/12/2016
Bauindustrieverband Niedersachsen-Bremen e.V. (BNB),II - In-house lobbyists and trade/business/professional associations,40000,01/12/2016
DIK,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
British Association of Picture Libraries & Agencies (BAPLA),II - In-house lobbyists and trade/business/professional associations, -   ,01/12/2016
Sea Teach S.L. (Sea Teach),II - In-house lobbyists and trade/business/professional associations,60000,01/12/2016
FONDAZIONE CENTRO SPERIMENTALE DI CINEMATOGRAFIA (CSC),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Aktionsforum Gesundheitsinformationssystem (afgis) e.V. (afgis),III - Non-governmental organisations,9999,01/12/2016
European Sprouted Seeds Association (ESSA),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Centre d'Etudes Internationales de la Propri_t_ Intellectuelle (CEIPI),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Asociaciãn Espa_ola de Cogeneraciãn (ACOGEN),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Pest megyei çllatv_d_rs_g çllat- _s Term_szetv_delmi Alapêtvöny (Pest m.çllatv_d_rs_g),III - Non-governmental organisations,9999,01/12/2016
Medizinische Hochschule Hannover (MHH),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Finnish Authorsâ Copyright Society Sanasto (Sanasto),II - In-house lobbyists and trade/business/professional associations,9999,01/01/2016
THE NATURE CONSERVANCY IN EUROPE gemeinn™tzige GmbH (TNCE),III - Non-governmental organisations,9999,01/06/2016
Associazione Wikimedia Italia (WMI),III - Non-governmental organisations,9999,01/12/2016
Gustaaf Bos Consulting,I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
European Quarter Area Management Association (EQuAMA),III - Non-governmental organisations,9999,01/12/2016
Forum of European Muslim Youth and Student organisations (FEMYSO),III - Non-governmental organisations,9999,01/12/2016
Hubert Burda Media Holding Kommanditgesellschaft,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
AP FotoMuseum Provincie Antwerpen (FOMU),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2016
Slovensk_ ochrann_ zv_z autorsk_ pre pröva k hudobn_m dielam (SOZA),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
G & H Associates (Brussels) Ltd (GHB),I - Professional consultancies/law firms/self-employed consultants,99999,01/06/2016
Cooperatie Kottervisserij Nederland (VisNed) (VisNed),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Visa Sweden F_rening (VSF),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Allianz deutscher Designer (AGD),II - In-house lobbyists and trade/business/professional associations,1200,01/12/2016
Deutscher Dachverband f™r Geoinformation e.V. (DDGI),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Royal College of Nursing (RCN),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Zurich Insurance Company Ltd,II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
Soci_t_ des Gens de Lettres (SGDL),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
FERROVIAL AGROMAN S.A. (FERROVIAL),II - In-house lobbyists and trade/business/professional associations,  ,01/12/2016
International Federation of Mountain Guides Associations (IFMGA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Film and Music Austria (FAMA),II - In-house lobbyists and trade/business/professional associations,15000,01/12/2016
FEDERAZIONE EDITORI MUSICALI (F.E.M.),II - In-house lobbyists and trade/business/professional associations,6000,01/12/2016
Tehy ry (Tehy),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Zentralverband der deutschen Seehafenbetriebe e.V. (ZDS),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Universit_ Popolare di Firenze (U.P.F.),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Dassault Systèmes,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Kelley Drye & Warren LLP,I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2016
LOUIS DREYFUS ARMATEURS (LDA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Struttura di Missione per il  Parlamento Europeo e il Consiglio dêEuropa (SME),"IV - Think tanks, research and academic institutions",9999,01/12/2016
European Citizen Action Service (ECAS),III - Non-governmental organisations,99999,01/12/2016
Digital UK (DUK),III - Non-governmental organisations,9999,01/12/2016
Federation Europeenne Des Emballeurs Et Distributeurs De Miel - European Federation of Honey Packers and Distributors (F.E.E.D.M),II - In-house lobbyists and trade/business/professional associations,5000,01/12/2016
LABELAB,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
European Civil Society (ECS),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Institut f™r Mittelstandsforschung (IfM) Bonn (IfM Bonn),"IV - Think tanks, research and academic institutions",9999,01/12/2016
OMR Conseil,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Woord en Daad Foundation,III - Non-governmental organisations,99999,01/12/2016
Federazione nazionale unitaria dei titolari di farmacia italiani (Federfarma),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
FIDAL,I - Professional consultancies/law firms/self-employed consultants,199999,01/09/2016
Macra na Feirme (Macra),III - Non-governmental organisations,15000,01/12/2016
European Association of Institutions in Higher Education (EURASHE),III - Non-governmental organisations,9999,01/12/2016
Consejo General de la Ingenierêa T_cnica Industrial (COGITI),III - Non-governmental organisations,9999,01/03/2016
Verband der Ersatzkassen e.V. (vdek),III - Non-governmental organisations,99999,01/12/2016
ASOCIACION ESPAÜOLA DE EVALUACION DE IMPACTO AMBIENTAL (AEEIA),III - Non-governmental organisations,24999,01/12/2016
Commission Intersydicale des D_shydrateurs Europ_ens (CIDE),II - In-house lobbyists and trade/business/professional associations,80000,01/12/2016
REWE ZENTRALFINANZ eG (REWE Group),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
Uber,II - In-house lobbyists and trade/business/professional associations,799999,01/12/2016
Deutscher Derivate Verband (DDV),II - In-house lobbyists and trade/business/professional associations,140000,01/12/2016
Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding (VDAB),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2016
easyJet,II - In-house lobbyists and trade/business/professional associations,199999,01/09/2016
Interstedelijk Studenten Overleg (ISO),III - Non-governmental organisations,9999,01/12/2016
ASOCIACION ESPAÜOLA DE FABRICANTES DE ABONOS ORGANO-MINERALES Y ORGANICOS (ORGANIC AND ORGANO-MINERAL FERTILISER MANUFACTURERSâ SPANISH ASSOCIATION) (FOMA),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
EUROPE FOR FAMILY (EFF),III - Non-governmental organisations,9999,01/12/2016
Zwi_zek Bankãw Polskich (ZBP),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
European Network of Forest Entrepreneurs e.V. (ENFE),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Oto_ni sabor udruga za razvitak hrvatskih otoka (Oto_ni sabor),III - Non-governmental organisations,9999,01/12/2016
SGI Europe Buddhist Association (SGI EBA),V - Organisations representing churches and religious communities,9999,01/12/2016
SJF Consulting,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Guardie Ecozofile Protezione Ambientale (G.E.P.A. onlus),III - Non-governmental organisations,9999,01/12/2016
Consejo General de Colegios Oficiales de Ingenieros Industriales (CGCOII),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Keep Northern Ireland Beautiful (Keep NI Beautiful),III - Non-governmental organisations,9999,01/03/2016
Global Financial Markets Association (GFMA),II - In-house lobbyists and trade/business/professional associations,299999,01/10/2016
COMPAÜIA ESPAÜOLA DE PETROLEOS SAU (CEPSA),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Chartered Institute of Arbitrators (CIArb),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Suomen L__k_riliitto (SLL),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Comit_ Pauvret_ et Politique,III - Non-governmental organisations,9999,01/12/2016
Canadian Cattlemen's Association (CCA),II - In-house lobbyists and trade/business/professional associations,24999,01/06/2016
EUROPEAN BUSINESS AVIATION ASSOCIATION (EBAA),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
Giorgia Lionetti,I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2016
European Policy Centre (EPC),"IV - Think tanks, research and academic institutions",2499999,01/12/2016
Independent Television PLC (ITV),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
The Chamber of Tax Advisers of the Czech Republic (KDP _R),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Region Sènderjylland-Schleswig -Regionskontor & Infocenter,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2016
World Organization of the Scout Movement - Bureau Europ_en du Scoutisme (WOSM),III - Non-governmental organisations,199999,01/09/2016
European Engine Power Plants Association (EUGINE),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
"CRUAÜAS & ASOCIADOS, CONSEJEROS, S.L.",I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2016
Access Info Europe (Access Info),III - Non-governmental organisations,24999,01/12/2016
